BU SCND;PRDH_StatisticGroupDescription;Product Number ACDC;Product SCND;Product Number 10 ACDC;From Location SCND;HS Codes in ACDC;Cluster NAME
VM-NBS;Miscellaneous Other Actuation;0204254358;P00110 - Electrical Actuation;0204254358;KBS-Stanztechnik GmbH;8708309990;CLIP & CLAMP
VM-ATC;Miscellaneous Other Actuation;0204254606;P00870 - Conventional Actuation;0204254606;Metallon I.N.C.;73182403;KEY
VM-ESP;ESP Components;1260526859;P00268 - Electronic Stability Program (ESP);1260526859;SCHERDEL Wiesauplast Deutschland;8708309990;PISTON
VM-ATC;Miscellaneous Other Actuation;0204254669;P00870 - Conventional Actuation;0204254669;ASIMCO Sealing Technologies;40169390;O-RING
VM-ESP;PE9 (Pump Element);1267090915;P00268 - Electronic Stability Program (ESP);1267090915;Plant Blaichach;8413910000;PUMP ELEMENT
VM-VDS;DF Components;F0C12B2103;P00244 - DF;F0C12B2103;WAC LLC;87089999;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-EPS;EPSapa_Steering Nut_9EZ;4532030678;ER - EPS apa;4532030678;Plant Florence;87089412;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-NBS; ;0204864F0J;P00110 - Electrical Actuation;0204864F0J;Selzer Automotive Bosnia d.o.o.;8708309990;PEDAL INTERFACE
VM-ESP;MV_HSx (Magnet Valve);1267699802;P00268 - Electronic Stability Program (ESP);1267699802;Plant Charleston;84812099;SOLENOID VALVE
VM-EPS;Car steer Assembly/Single part;7805302363;ER - EPS dp;7805302363;Plant Florence;87089412;COVER SENSOR
VM-EPS;Car steer Assembly/Single part;4597000481;ER - EPS dp;4597000481;MAQUINADOS DE PRECISION DE MEXICO;8708947550;STEERING SHAFT
VM-ESP;ESP Components;1261119840;P00268 - Electronic Stability Program (ESP);1261119840;CCL Design Stuttgart GmbH;39199090;ADHESIVE FILM, LABEL, STICKER
VM-ATC;Miscellaneous Other Actuation;0204223205;P00870 - Conventional Actuation;0204223205;Ochiai Co., Ltd.;7318240000;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-NBS;PS10 (Pressure Sensor);1267030883;P01893 - IPB;1267030883;Plant Blaichach;9026209090;SENSOR
VM-CVS;SERVOCOM 8095 - MS Truck steerings - Ass;8095037106;CS - Hydr. Steering;8095037106;Seeger-Orbis GmbH;7318240000;RETAINING RING
VM-EPS;Car steer Assembly/Single part;7806325152;ER - EPS apa;7806325152;CW BEARING USA INC;84821099;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ESP;ESP Components;1263414854;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1263414854;Fujita Rashi Kougyou Co. Ltd.;7318151090;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ATC; ;0204851918;P00870 - Conventional Actuation;0204851918;WISCONSIN METAL PRODUCTS COMPANY;87083099;FRONT/REAR SHELL
VM-ESP;TCS Components;1260556801;P00267 - Traction Control System (TCS);1260556801;Hubert Stueken GmbH & Co. KG;8481901000;tbd
VM-EPS;Car steer Assembly/Single part;4597000481;ER - EPS dp;4597000481;MAQUINADOS DE PRECISION DE MEXICO;99039406;STEERING SHAFT
VM-ESP;TWS Components;1264210858;P00257 - Two Wheeler Safety (TWS);1264210858;Plant Blaichach;85059000;MAGNET
VM-ESP;ESP Components;0265957411;P00268 - Electronic Stability Program (ESP);0265957411;Plant Ansbach;8412909015;ECU
VM-ESP;MV_OSx (Magnet Valve);1267691809;P00268 - Electronic Stability Program (ESP);1267691809;Plant Blaichach;8481200020;SOLENOID VALVE
VM-EPS;Others Assembly/Single part;0770020031;ER - EPS dp;0770020031;T.A. AMERICA CORPORATION;98020019;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ATC; ;02042C2148;P00870 - Conventional Actuation;02042C2148;DOMENY TOOL AND STAMPING COMPANY;73261999;CLIP & CLAMP
VM-VDS;DF Components;F00C1T8915;P00244 - DF;F00C1T8915;Parker Hannifin GmbH;4016931000;O-RING
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;KRS - SEIGERT GmbH;8482910000;BALL
VM-ESP;ESP Components;1260206825;P00268 - Electronic Stability Program (ESP);1260206825;Saint-Gobain Performance Plastics;8708309990;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;KGM Kugelfabrik GmbH & Co. KG;8482910000;BALL
VM-NBS; ;0204841567;P00110 - Electrical Actuation;0204841567;SFS Group Schweiz AG;8708309990;ROD
VM-ESP;PS10 (Pressure Sensor);1267030880;P00268 - Electronic Stability Program (ESP);1267030880;Plant Blaichach;9026209090;SENSOR
VM-VDS;DF Components;F00C1T8915;P00244 - DF;F00C1T8915;Parker Hannifin GmbH;4016931000;O-RING
VM-ESP;ESP Components;1263414857;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1263414857;SFS Group Schweiz AG;7318151090;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;ESP Components;1260206826;P00268 - Electronic Stability Program (ESP);1260206826;Saint-Gobain Performance Plastics;8708309990;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ESP;TWS Components;1265149R31;P00257 - Two Wheeler Safety (TWS);1265149R31;Jiangsu Asia-Pacific Light Alloy;76042990;EXTRUDED PROFILE ALU
VM-ATC;Miscellaneous Other Actuation;0204254356;P00870 - Conventional Actuation;0204254356;DOMENY TOOL AND STAMPING COMPANY;73182102;WASHER
VM-ATC;BR-FL.RESERVOIR;0204799693;P00870 - Conventional Actuation;0204799693;Plant Aguascalientes;8413919085;BRAKE FLUID RESERVOIR
VM-NBS;IPB1.0;1267431883;P01893 - IPB;1267431883;Karl Kuefner GmbH & Co. KG;8708309990;FILTER
VM-ATC;Miscellaneous Other Actuation;0204258669;P00870 - Conventional Actuation;0204258669;R & L SPRING COMPANY;73202005;SPRING
VM-ESP;TWS Components;1268001935;P00257 - Two Wheeler Safety (TWS);1268001935;Shenzhen Zhaowei Machinery &;85013119;MOTOR
VM-ATC;Miscellaneous Other Actuation;0204255193;P00870 - Conventional Actuation;0204255193;Engineered Plastic Components INC;39269099;tbd
VM-ATC;Miscellaneous Other Actuation;0204223152;P00870 - Conventional Actuation;0204223152;Warehouse Higashimatsuyama ;73202000;SPRING
VM-ESP;RVR (Return Valve);1267410812;P00268 - Electronic Stability Program (ESP);1267410812;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-ATC;Miscellaneous Other Actuation;0204254844;P00870 - Conventional Actuation;0204254844;SFS Group Schweiz AG;87083000;ROD
VM-NBS;BSV-PRV;1267410018;P01893 - IPB;1267410018;Plant Blaichach;8481201090;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-VDS; ;F0C12B2149;P00244 - DF;F0C12B2149;Sumitomo Electric Wiring Systems;98020019;tbd
VM-ESP;RVR (Return Valve);1267410813;P00268 - Electronic Stability Program (ESP);1267410813;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-EPS;EPSapa_1KP_RHD_ivar_inboard_SCU3-B3a;4532048522;ER - EPS apa;4532048522;Plant Queretaro;8708947550;RACK+PINION EL. STEERING
VM-ESP;ABS Components;1265149R44;P00268 - Electronic Stability Program (ESP);1265149R44;Kaiser Aluminum;99038502;EXTRUDED PROFILE ALU
VM-ESP;PE9 (Pump Element);1267090904;P00268 - Electronic Stability Program (ESP);1267090904;Warehouse Tochigi;8413910000;PUMP ELEMENT
VM-NBS;iBooster Gen2 Reservoir (Product);0204855348;P00110 - Electrical Actuation;0204855348;Datwyler Sealing Solutions USA Inc.;87083099;RESERVOIR CAP
VM-EPS;Car steer Assembly/Single part;4532024466;ER - EPS apa;4532024466;iwis mechatronics Inc.;90319099;COVER SENSOR
VM-ATC;Miscellaneous Other Actuation;0204254358;P00870 - Conventional Actuation;0204254358;DOMENY TOOL AND STAMPING COMPANY;73261999;CLIP & CLAMP
VM-CVS;Others Assembly/Single part;0770050356;CS - Hydr. Steering;0770050356;EWALD DENKER GMBH;7318240000;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;ESP Components;1260098866;P00268 - Electronic Stability Program (ESP);1260098866;HERMA GmbH;3919909090;ADHESIVE FILM, LABEL, STICKER
VM-ESP;ESP Components;1260206828;P00268 - Electronic Stability Program (ESP);1260206828;Saint-Gobain Performance Plastics;8708309990;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-EPS;EPSapa_1KP_RHD_ivar_inboard_SCU3-B3a;4532048522;ER - EPS apa;4532048522;Plant Queretaro;8708947550;RACK+PINION EL. STEERING
VM-EPS;Car steer Assembly/Single part;4597000481;ER - EPS dp;4597000481;MAQUINADOS DE PRECISION DE MEXICO;"8708947550; 99030127";STEERING SHAFT
VM-ATC;Miscellaneous Other Actuation;0204259654;P00870 - Conventional Actuation;0204259654;Saint-Gobain Performance;8481901000;CLIP & CLAMP
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;KRS - SEIGERT GmbH;8482910000;BALL
VM-CVS;Truck steer Assembly/Single part;8090040120;CS - Hydr. Steering;8090040120;MSSL TOOLING FZE;3926909090;SCREW PLUG GROMMET
VM-VDS;DF Components;F0C12K1040;P00244 - DF;F0C12K1040;WAC LLC;83023091;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ATC;Miscellaneous Other Actuation;0204709968;P00870 - Conventional Actuation;0204709968;ContiTech Vibration Control France;4016939000;SEAL
VM-EPS;Car steer Assembly/Single part;4532037391;ER - EPS dp;4532037391;MATERIAS PLASTICAS y ELASTOMEROS;99030127;PROTECTION CAP / SLEEVE
VM-EPS;Car steer Assembly/Single part;7805249390;ER - EPS dp;7805249390;CTR Masan Plant;8708947550;AXIAL JOINT
VM-ESP;MV_OSx (Magnet Valve);1267691802;P00268 - Electronic Stability Program (ESP);1267691802;Plant Charleston;84812099;SOLENOID VALVE
VM-VDS;DF Components;F00C1H3089;P00244 - DF;F00C1H3089;Amphenol Jet(Haiyan) Interconnect;85369090;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ESP;ESP Components;1265149R26;P00268 - Electronic Stability Program (ESP);1265149R26;Kaiser Aluminum;99038502;EXTRUDED PROFILE ALU
VM-ESP; ;1267031873;P00268 - Electronic Stability Program (ESP);1267031873;A. Berger Praezisionsdrehteile;8479909090;SEALING CAP
VM-ESP;ABS Components;1264210845;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1264210845;Plant Blaichach;8481901000;MAGNET
VM-ESP;ABS Components;1264210845;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1264210845;Plant Blaichach;8481901000;MAGNET
VM-NBS;Reservoir;0204841844;P00110 - Electrical Actuation;0204841844;Teknia Rzeszow Sp z o.o.;8708309990;RESERVOIR CAP
VM-ESP;TCS Components;1263031845;P00268 - Electronic Stability Program (ESP);1263031845;Plant Blaichach;"8481901000;8481901000";ARMATURE
VM-NBS; ;020486409Z;P01893 - IPB;020486409Z;Franz Wolf;8708309990;INPUT ROD RETAINER
VM-EPS;Car steer Assembly/Single part;7805053712;ER - EPS dp;7805053712;Reich LLC;87089412;PINION
VM-ATC;Miscellaneous Other Actuation;02042D2049;P00870 - Conventional Actuation;02042D2049;UFP TECHNOLOGIES INC;39269099;FILTER
VM-ATC;iBooster Gen1;0204724065;P00870 - Conventional Actuation;0204724065;Crown Screw Corporation;8708309990;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-VDS;DF Components;F00C1T8788;P00244 - DF;F00C1T8788;J.N.EBERLE;8543909000;BUSHING
VM-ESP;TCS Components;1264610838;P00268 - Electronic Stability Program (ESP);1264610838;Raithel & Co Gmbh;99038190;SPRING
VM-NBS;Miscellaneous Other Actuation;0204254356;P00110 - Electrical Actuation;0204254356;Adval Tech (Switzerland) AG;8708309990;WASHER
VM-ATC;Miscellaneous Other Actuation;0204814911;P00870 - Conventional Actuation;0204814911;Caplugs;39269099;PROTECTION CAP / SLEEVE
VM-ESP;ABS Components;1267431868;P00268 - Electronic Stability Program (ESP);1267431868;Weppler Filter GmbH;8481901000;FILTER
VM-EPS;Car steer Assembly/Single part;7818001259;ER - EPS apa;7818001259;BOCAR SA DE CV;8708947550;HOUSING
VM-ESP;PE9 (Pump Element);1267090917;P00268 - Electronic Stability Program (ESP);1267090917;Plant Blaichach;8413910000;PUMP ELEMENT
VM-EPS;Car steer Assembly/Single part;7818001259;ER - EPS apa;7818001259;BOCAR SA DE CV;8708947550;HOUSING
VM-NBS;Miscellaneous Other Actuation;0204254358;P00110 - Electrical Actuation;0204254358;KBS-Stanztechnik GmbH;8708309990;CLIP & CLAMP
VM-CVS;Others Assembly/Single part;0770075226;CS - Hydr. Steering;0770075226;Schaeffler Technologies AG & Co. KG;8482910000;BALL
VM-ESP;ABS Components;1267431868;P00268 - Electronic Stability Program (ESP);1267431868;Weisser + Griesshaber GmbH;8481901000;FILTER
VM-VDS; ;F005B10729;P00245 - LWS;F005B10729;Bomatec (Malaysia) SDN.BHD;9031900090;GEAR Misc.
VM-ESP;ESP Components;2260522015;P00265 - Anti-Lock Brake System (ABS) w/o TWS;2260522015;Warehouse Tochigi;3926909090;PROTECTION CAP / SLEEVE
VM-VDS; ;1277340672;P00247 - Low Pressure Sensors;1277340672;Plant Kuala Lumpur;90262000;SENSOR
VM-EPS;Car steer Assembly/Single part;4532003579;ER - EPS dp;4532003579;TEKNIA TEPEJI SA DE CV;99039406;HOUSING SERVO
VM-EPS;EPSapa_Rack_9EZ_LHD_icon;4532024711;ER - EPS apa;4532024711;Plant Florence;87089412;TOOTHED RACK
VM-ESP;MV_ICx (Magnet Valve);1267695813;P00268 - Electronic Stability Program (ESP);1267695813;Plant Charleston;84812099;SOLENOID VALVE
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;KGM Kugelfabrik GmbH & Co. KG;8482910000;BALL
VM-CVS;RAS Gen3 PowerUnit_1KP_CS-SCU2_B3a_24V;4533004936;CS - Electr. Steering;4533004936;Plant Schwäbisch Gmünd;8413602190;tbd
VM-ESP;RVR (Return Valve);1267410813;P00268 - Electronic Stability Program (ESP);1267410813;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-ESP;ESP Components;1903230010;P00268 - Electronic Stability Program (ESP);1903230010;KGM Kugelfabrik GmbH & Co. KG;8482910000;BALL
VM-ESP;CDD (Damper);1267031870;P00268 - Electronic Stability Program (ESP);1267031870;Plant Blaichach;8479899990;DAMPER
VM-NBS;Miscellaneous Other Actuation;0204709969;P00110 - Electrical Actuation;0204709969;ContiTech Vibration Control France;4016939000;SEAL
VM-ATC;Miscellaneous Other Actuation;02043A2126;P00870 - Conventional Actuation;02043A2126;R & L SPRING COMPANY;73202005;SPRING
VM-ESP;Multiusage;1260491836;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260491836;Rochling Precision Components AG;90329000;CLIP & CLAMP
VM-ATC;Miscellaneous Other Actuation;0204254788;P00870 - Conventional Actuation;0204254788;Warehouse Higashimatsuyama ;8481901000;CLIP & CLAMP
VM-VDS;DF Components;F00C1C8529;P00244 - DF;F00C1C8529;AUTOMATION TOOL & DIE INC;83023091;CLIP & CLAMP
VM-EPS;Car steer Assembly/Single part;4532039776;ER - EPS apa;4532039776;NIDEC AMERICA CORPORATION;85015299;MOTOR
VM-ESP;PE9 (Pump Element);1267090918;P00268 - Electronic Stability Program (ESP);1267090918;Plant Blaichach;8413919060;PUMP ELEMENT
VM-ESP;ESP Components;1260206834;P00268 - Electronic Stability Program (ESP);1260206834;STARLIM Spritzguss GmbH;3926909090;SEAL
VM-ESP;MV_ICx (Magnet Valve);1267690801;P00268 - Electronic Stability Program (ESP);1267690801;Warehouse Tochigi;8481901000;SOLENOID VALVE
VM-ESP;PE9 (Pump Element);1267090902;P00268 - Electronic Stability Program (ESP);1267090902;Warehouse Tochigi;8413910000;PUMP ELEMENT
VM-ESP;ESP Components;1260526859;P00268 - Electronic Stability Program (ESP);1260526859;SCHERDEL Wiesauplast Deutschland;8708309990;PISTON
VM-ATC; ;02042A2195;P00870 - Conventional Actuation;02042A2195;DOMENY TOOL AND STAMPING COMPANY;73261999;CLIP & CLAMP
VM-EPS;Car steer Assembly/Single part;7802309655;ER - EPS dp;7802309655;IMS Gear Georgia LLC;87089412;WORM WHEEL
VM-ATC;Miscellaneous Other Actuation;0204710241;P00870 - Conventional Actuation;0204710241;Crown Screw Corporation;8708309990;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;TWS Components;1265149R36;P00257 - Two Wheeler Safety (TWS);1265149R36;Jiangsu Asia-Pacific Light Alloy;76042990;EXTRUDED PROFILE ALU
VM-ESP;ESP Components;1260526860;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260526860;SCHERDEL Wiesauplast Deutschland;8708309990;PISTON
VM-ESP;ESP Components;1260325819;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260325819;Plant Blaichach;8481901000;VALVE SLEEVE/BEARING
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;Tan Kong Precision Tech Co., LTD.;8482910000;BALL
VM-NBS;IPB1.0;1267500023;P01893 - IPB;1267500023;Keller and Kalmbach GmbH & Co. KG;7307990000;SCREW PLUG GROMMET
VM-ESP; ;1264611872;P00269 - Coop. Regenerative Braking System (CRBS);1264611872;Raithel + Co. GmbH;7320209000;SPRING
VM-NBS; ;0204864NP8;P01893 - IPB;0204864NP8;Rochling Precision Components AG;8708309990;CLIP & CLAMP
VM-ESP;ESP Components;1267040815;P00268 - Electronic Stability Program (ESP);1267040815;EJOT SE & Co. KG;40169390;DAMPER
VM-EPS;EPSdp_Worm_9EZ_LHD;4532025450;ER - EPS dp;4532025450;IMS Gear Georgia LLC;84834009;WORM
VM-ATC;ACTUATION OTH.P.;0204332641;P00870 - Conventional Actuation;0204332641;Plant Aguascalientes;4016935050;SCREW PLUG GROMMET
VM-ESP;PE9 (Pump Element);1267090913;P00268 - Electronic Stability Program (ESP);1267090913;Warehouse Tochigi;8413910000;PUMP ELEMENT
VM-ESP;PE9 (Pump Element);1267090913;P00268 - Electronic Stability Program (ESP);1267090913;Warehouse Tochigi;8413910000;PUMP ELEMENT
VM-ESP;ESP Components;1263230826;P00268 - Electronic Stability Program (ESP);1263230826;KGM Kugelfabrik GmbH & Co. KG;8482910000;BALL
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;KGM Kugelfabrik GmbH & Co. KG;8482910000;BALL
VM-NBS;iBooster Gen2 parts;0204864873;P00110 - Electrical Actuation;0204864873;TRO Manufacturing Co., Inc.;8708309990;PEDAL INTERFACE
VM-ESP; ;1264611872;P00269 - Coop. Regenerative Braking System (CRBS);1264611872;SCHERDEL GmbH;7320209000;SPRING
VM-ATC; ;F01G1611KA;P00870 - Conventional Actuation;F01G1611KA;NEW SOMTHAI MOTOR WORK CO.,LTD.;87083000;CLEVIS
VM-ESP;ABS Components;1267431868;P00268 - Electronic Stability Program (ESP);1267431868;Weisser + Griesshaber GmbH;8481901000;FILTER
VM-ESP;ESP Components;0265957488;P00268 - Electronic Stability Program (ESP);0265957488;Plant Ansbach;8412909015;ECU
VM-VDS;DF Components;F00C1C8884;P00244 - DF;F00C1C8884;Stanley Engineered Fastening LLC;39269099;CLIP & CLAMP
VM-VDS;DF Components;F0C12T3014;P00244 - DF;F0C12T3014;MOLEX LLC;85369099;tbd
VM-ESP;RVR (Return Valve);1267410813;P00268 - Electronic Stability Program (ESP);1267410813;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-ESP;ESP Components;1267040815;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1267040815;Fujita Rashi Kougyou Co. Ltd.;4016999090;DAMPER
VM-NBS;IPB1.0;020486412X;P01893 - IPB;020486412X;TEKNIA SAN LUIS POTOSI;8413919085;BRAKE FLUID RESERVOIR
VM-NBS;Miscellaneous Other Actuation;0204254243;P00110 - Electrical Actuation;0204254243;Kgm Kugelfabrik Gmbh & Co. Kg;8482910000;BALL
VM-VDS;DF Components;F00C1T8915;P00244 - DF;F00C1T8915;Parker Hannifin GmbH;4016931000;O-RING
VM-ATC;Miscellaneous Other Actuation;02042D2515;P00870 - Conventional Actuation;02042D2515;HAMLIN TOOL & MACHINE COMPANYINC;87083099;PLATE/DISC
VM-ESP;ESP Components;1267040815;P00268 - Electronic Stability Program (ESP);1267040815;EJOT SE & Co. KG;90329000;DAMPER
VM-VDS;DF Components;F0C12B2015;P00244 - DF;F0C12B2015;Sumitomo Wiring Systems USA Inc.;85389001;HOUSING SENSOR & other small
VM-ESP;ESP Components;2261099048;P00268 - Electronic Stability Program (ESP);2261099048;iwis mechatronics GmbH & Co. KG;39269099;PROTECTION CAP / SLEEVE
VM-ESP;ESP Components;1263031854;P00268 - Electronic Stability Program (ESP);1263031854;Plant Blaichach;8481901000;ARMATURE
VM-CVS;Others Assembly/Single part;0770047094;CS - Hydr. Steering;0770047094;Plant Schwäbisch Gmünd;3926909090;PROTECTION CAP / SLEEVE
VM-VDS;LPS - DSD Components;8613560594;P00247 - Low Pressure Sensors;8613560594;Suzhou Zhongxinglian Precision;90269000;HOUSING SENSOR & other small
VM-ESP;ESP Components;1260206834;P00268 - Electronic Stability Program (ESP);1260206834;STARLIM Spritzguss GmbH;3926909090;SEAL
VM-ESP;ESP Components;1260098848;P00268 - Electronic Stability Program (ESP);1260098848;CCL DESIGN (SUZHOU) CO., LTD;39191000;ADHESIVE FILM, LABEL, STICKER
VM-ESP;TWS Components;1268001907;P00257 - Two Wheeler Safety (TWS);1268001907;BEST ACHIEVE INDUSTRIAL LIMITED;85013119;MOTOR
VM-EPS;Car steer Assembly/Single part;4532032169;ER - EPS dp;4532032169;IMS Gear Georgia LLC;87089412;PINION
VM-ESP;ESP Components;1267040815;P00268 - Electronic Stability Program (ESP);1267040815;EJOT SE & Co. KG;40169390;DAMPER
VM-ESP;TWS Components;1260526900;P00257 - Two Wheeler Safety (TWS);1260526900;Sansyu precision Co., Ltd.;87089900;PISTON
VM-ATC;Miscellaneous Other Actuation;0204719690;P00870 - Conventional Actuation;0204719690;Haerter Technika Wytlaczania;8708309990;CLIP & CLAMP
VM-ESP;TWS Components;1260098878;P00257 - Two Wheeler Safety (TWS);1260098878;CCL DESIGN (SUZHOU) CO., LTD;39199090;ADHESIVE FILM, LABEL, STICKER
VM-ATC;Miscellaneous Other Actuation;0204254615;P00870 - Conventional Actuation;0204254615;Ouchi Industry Co., Ltd.;87083000;PUSH ROD RETAINER
VM-ESP;ESP Components;1260526857;P00268 - Electronic Stability Program (ESP);1260526857;Rochling Precision Components AG;99030125;PISTON
VM-CVS;Others Assembly/Single part;0770047022;CS - Hydr. Steering;0770047022;MSSL TOOLING FZE;3923500000;PROTECTION CAP / SLEEVE
VM-ATC;ACTUATION OTH.P.;0204332641;P00870 - Conventional Actuation;0204332641;Plant Aguascalientes;4016935050;SCREW PLUG GROMMET
VM-ESP;Multiusage;1260491836;P00268 - Electronic Stability Program (ESP);1260491836;Rochling Precision Components AG;"99030125; 99030220";CLIP & CLAMP
VM-EPS;Car steer Assembly/Single part;4532004728;ER - EPS apa;4532004728;BOCAR SA DE CV;8708947550;HOUSING
VM-ESP;PS10 (Pressure Sensor);1267030880;P00268 - Electronic Stability Program (ESP);1267030880;Plant Blaichach;9026209090;SENSOR
VM-ESP;ESP Components;1903230010;P00268 - Electronic Stability Program (ESP);1903230010;KGM Kugelfabrik GmbH & Co. KG;8482910000;BALL
VM-EPS;EPSapa_Steering Nut_9EZ;4532015573;ER - EPS apa;4532015573;Plant Florence;87089412;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-NBS; ;0204842776;P01893 - IPB;0204842776;Kinugawa Rubber Industrial Co.;4016939000;SEAL
VM-VDS;DF Components;8909007010;P00244 - DF;8909007010;NXP Semiconductors Netherlands B.V. (manuell angepasst);90319000;RESISTORS DIODES CRYSTALS CAPACITORS
VM-ESP;ESP Components;1260098858;P00268 - Electronic Stability Program (ESP);1260098858;Whitlam Group;3919909090;ADHESIVE FILM, LABEL, STICKER
VM-CVS;Truck steer Assembly/Single part;7752242442;CS - Hydr. Steering;7752242442;Brehm Praezisionstechnik Gmbh;8481400000;VALVE SLEEVE/BEARING
VM-CVS;Others Assembly/Single part;0770035790;CS - Hydr. Steering;0770035790;MSSL TOOLING FZE;3926909090;GASKET
VM-ESP;ABS Components;1265149R44;P00268 - Electronic Stability Program (ESP);1265149R44;Kaiser Aluminum;99038502;EXTRUDED PROFILE ALU
VM-EPS;EPSapa_1KP_LHD_ivar_inboard_SCU3-D12a;4532051379;ER - EPS apa;4532051379;Plant Queretaro;8708947550;RACK+PINION EL. STEERING
VM-ATC;Miscellaneous Other Actuation;0204844439;P00870 - Conventional Actuation;0204844439;SAMOT INDUSTRIA MECANICA;8413919060;PISTON
VM-ATC;Miscellaneous Other Actuation;0204806652;P00870 - Conventional Actuation;0204806652;MODISPREM, SA;3926909090;FILTER
VM-CVS;Truck steer Assembly/Single part;7860009183;CS - Hydr. Steering;7860009183;Heckler GmbH;8708945000;BEVEL GEAR
VM-VDS;DF Components;F00C1S8103;P00244 - DF;F00C1S8103;ARNOLD UMFORMTECHNIK GMBH & CO KG;7318151090;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-VDS;DF Components;F00C1C8798;P00244 - DF;F00C1C8798;Stanley Engineered Fastening LLC;39269099;CLIP & CLAMP
VM-ESP;RVR (Return Valve);1267410813;P00268 - Electronic Stability Program (ESP);1267410813;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-ATC;Reservoir;0204801653;P00870 - Conventional Actuation;0204801653;TECHNIPLAS LLC;87083099;BRAKE FLUID RESERVOIR
VM-ATC; ;0204258575;P00870 - Conventional Actuation;0204258575;ContiTech Vibration Control France;4016939000;SEAL
VM-VDS;DF Components;F00C1C8503;P00244 - DF;F00C1C8503;Essex Group Inc;70199099;SEAL
VM-ESP;ABS Components;1267431869;P00268 - Electronic Stability Program (ESP);1267431869;NBC MESHTEC INCORPORATED;8481901000;FILTER
VM-CVS;Others Assembly/Single part;0634349554;CS - Hydr. Steering;0634349554;Dichtungstechnik Wallstabe &;4016939000;O-RING
VM-ESP;PS10 (Pressure Sensor);1267030880;P00268 - Electronic Stability Program (ESP);1267030880;Plant Blaichach;9026209090;SENSOR
VM-ESP;ESP Components;1264616810;P00268 - Electronic Stability Program (ESP);1264616810;SCHERDEL GmbH;73209090;SPRING
VM-EPS;Car steer Assembly/Single part;4597000087;ER - EPS apa;4597000087;Rongtai Industrial Development Leon;8708947550;HOUSING
VM-ESP;PE9 (Pump Element);1267090906;P00268 - Electronic Stability Program (ESP);1267090906;Plant Blaichach;8413910000;PUMP ELEMENT
VM-ESP;ABS Components;1265149R45;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1265149R45;Kaiser Aluminum;99038502;EXTRUDED PROFILE ALU
VM-NBS;LIPS-PB;1264500127;P01893 - IPB;1264500127;Plant Blaichach;9031809090;SENSOR
VM-VDS;DF Components;F00C1T0107;P00244 - DF;F00C1T0107;Suzhou Shuanglin Automotive Parts;73269099;tbd
